;X1;X2;Y1;Y2;Z
11:31:13.8644412;8;13;1;3;FALSE
11:31:13.9276587;8;13;1;3;FALSE
11:31:13.9922987;8;13;1;3;FALSE
11:31:14.0551453;8;13;1;3;FALSE
11:31:14.1209612;8;13;1;3;FALSE
11:31:14.1841750;8;13;1;3;FALSE
11:31:14.2465706;8;13;1;3;FALSE
11:31:14.3108029;8;13;1;3;FALSE
11:31:14.4154953;8;13;1;3;FALSE
11:31:14.5002250;8;13;1;3;FALSE
11:31:14.6006020;8;13;1;3;FALSE
11:31:14.7011253;8;13;1;3;FALSE
11:31:14.7700209;8;13;1;3;FALSE
11:31:14.8700948;8;13;1;3;FALSE
11:31:14.9704564;8;13;1;3;FALSE
11:31:15.0706653;8;13;1;3;FALSE
11:31:15.1486902;8;13;1;3;FALSE
11:31:15.2333086;8;13;1;3;FALSE
11:31:15.3337226;8;13;1;3;FALSE
11:31:15.4338787;8;13;1;3;FALSE
11:31:15.5185929;8;13;1;3;FALSE
11:31:15.6094788;8;13;1;3;FALSE
11:31:15.7039496;8;13;1;3;FALSE
11:31:15.8043955;8;13;1;3;FALSE
11:31:15.8731161;8;13;1;3;FALSE
11:31:15.9733851;8;13;1;3;FALSE
11:31:16.0575209;8;13;1;3;FALSE
11:31:16.1514808;8;13;1;3;FALSE
11:31:16.2204551;8;13;1;3;FALSE
11:31:16.3052745;8;13;1;3;FALSE
11:31:16.4055553;8;13;1;3;FALSE
11:31:16.5058042;8;13;1;3;FALSE
11:31:16.6058805;8;13;1;3;FALSE
11:31:16.7063861;8;13;1;3;FALSE
11:31:16.8066992;8;13;1;3;FALSE
11:31:16.8909506;8;13;1;3;FALSE
11:31:16.9676025;8;13;1;3;FALSE
11:31:17.0755226;8;13;1;3;FALSE
11:31:17.1680642;8;13;1;3;FALSE
11:31:17.2579071;8;13;1;3;FALSE
11:31:17.3073158;8;13;1;3;FALSE
11:31:17.3917272;8;13;1;3;FALSE
11:31:17.4759848;8;13;1;3;FALSE
11:31:17.5763783;8;13;1;3;FALSE
11:31:17.6767781;8;13;1;3;FALSE
11:31:17.7770720;8;13;1;3;FALSE
11:31:17.8772595;8;13;1;3;FALSE
11:31:17.9772727;8;13;1;3;FALSE
11:31:18.0556581;8;13;1;3;FALSE
11:31:18.1403765;8;13;1;3;FALSE
11:31:18.2407013;8;13;1;3;FALSE
11:31:18.3410542;8;13;1;3;FALSE
11:31:18.4253251;8;13;1;3;FALSE
11:31:18.5104352;8;13;1;3;FALSE
11:31:18.6106842;8;13;1;3;FALSE
11:31:18.7111464;8;13;1;3;FALSE
11:31:18.7798861;8;13;1;3;FALSE
11:31:18.8803806;8;13;1;3;FALSE
11:31:18.9806104;8;13;1;3;FALSE
11:31:19.0811023;8;13;1;3;FALSE
11:31:19.1816172;8;13;1;3;FALSE
11:31:19.2820862;8;13;1;3;FALSE
11:31:19.3825967;8;13;1;3;FALSE
11:31:19.4451415;8;13;1;3;FALSE
11:31:19.5141127;8;13;1;3;FALSE
11:31:19.6144095;8;13;1;3;FALSE
11:31:19.7148908;8;13;1;3;FALSE
11:31:19.8153538;8;13;1;3;FALSE
11:31:19.9312255;8;13;1;3;FALSE
11:31:20.0315863;8;13;1;3;FALSE
11:31:20.1319146;8;13;1;3;FALSE
11:31:20.2322643;8;13;1;3;FALSE
11:31:20.3324237;8;13;1;3;FALSE
11:31:20.4327530;8;13;1;3;FALSE
11:31:20.5174046;8;13;1;3;FALSE
11:31:20.5862960;8;13;1;3;FALSE
11:31:20.6870447;8;13;1;3;FALSE
11:31:20.7872101;8;13;1;3;FALSE
11:31:20.8495914;8;13;1;3;FALSE
11:31:20.9341679;8;13;1;3;FALSE
11:31:21.0347836;8;13;1;3;FALSE
11:31:21.1351563;8;13;1;3;FALSE
11:31:21.2196099;8;13;1;3;FALSE
11:31:21.2885464;8;13;1;3;FALSE
11:31:21.3888011;8;13;1;3;FALSE
11:31:21.4890275;8;13;1;3;FALSE
11:31:21.5892643;8;13;1;3;FALSE
11:31:21.6673004;8;13;1;3;FALSE
11:31:21.7418180;8;13;1;3;FALSE
11:31:21.8369947;8;13;1;3;FALSE
11:31:21.9370427;8;13;1;3;FALSE
11:31:22.0216707;8;13;1;3;FALSE
11:31:22.1220111;8;13;1;3;FALSE
11:31:22.2220352;8;13;1;3;FALSE
11:31:22.3223781;8;13;1;3;FALSE
11:31:22.4061760;8;13;1;3;FALSE
11:31:22.5225495;8;13;1;3;FALSE
11:31:22.6228354;8;13;1;3;FALSE
11:31:22.7074245;8;13;1;3;FALSE
11:31:22.7919363;8;13;1;3;FALSE
11:31:22.8761807;8;13;1;3;FALSE
11:31:22.9701512;8;13;1;3;FALSE
11:31:23.0703328;8;13;1;3;FALSE
11:31:23.1550887;8;13;1;3;FALSE
11:31:23.2606954;8;13;1;3;FALSE
11:31:23.3552933;8;13;1;3;FALSE
11:31:23.4397487;8;13;1;3;FALSE
11:31:23.5244858;8;13;1;3;FALSE
11:31:23.6246641;8;13;1;3;FALSE
11:31:23.7250516;8;13;1;3;FALSE
11:31:23.8251200;8;14;1;3;FALSE
11:31:23.9100904;8;14;1;3;FALSE
11:31:23.9946688;8;14;1;3;FALSE
11:31:24.0949157;8;14;1;3;FALSE
11:31:24.1777058;8;14;1;3;FALSE
11:31:24.2735153;8;14;1;3;FALSE
11:31:24.3735786;8;14;1;3;FALSE
11:31:24.4582142;8;14;1;3;FALSE
11:31:24.5428475;8;14;1;3;FALSE
11:31:24.6276711;8;14;1;3;FALSE
11:31:24.7274718;8;14;1;3;FALSE
11:31:24.8277591;8;14;1;3;FALSE
11:31:24.9124190;8;14;1;3;FALSE
11:31:24.9970817;8;14;1;3;FALSE
11:31:25.0752082;8;14;1;3;FALSE
11:31:25.1598734;8;14;1;3;FALSE
11:31:25.2289123;8;14;1;3;FALSE
11:31:25.2979487;8;14;1;3;FALSE
11:31:25.3758265;8;14;1;3;FALSE
11:31:25.4604855;8;14;1;3;FALSE
11:31:25.5482011;8;14;1;3;FALSE
11:31:25.6367277;8;14;1;3;FALSE
11:31:25.7455151;8;14;1;3;FALSE
11:31:25.8301872;8;14;1;3;FALSE
11:31:25.9304714;8;14;1;3;FALSE
11:31:25.9995096;8;14;1;3;FALSE
11:31:26.0776323;8;14;1;3;FALSE
11:31:26.1622919;8;14;1;3;FALSE
11:31:26.2469536;8;14;1;3;FALSE
11:31:26.3316165;8;14;1;3;FALSE
11:31:26.4006443;8;14;1;3;FALSE
11:31:26.4787642;8;14;1;3;FALSE
11:31:26.5790492;8;14;1;3;FALSE
11:31:26.6637166;8;14;1;3;FALSE
11:31:26.7485637;8;14;1;3;FALSE
11:31:26.8335371;8;14;1;3;FALSE
11:31:26.9338987;8;14;1;3;FALSE
11:31:27.0182937;8;14;1;3;FALSE
11:31:27.0810829;8;14;1;3;FALSE
11:31:27.1500830;8;14;1;3;FALSE
11:31:27.2504374;8;14;1;3;FALSE
11:31:27.3507957;8;13;1;3;FALSE
11:31:27.4511351;8;13;1;3;FALSE
11:31:27.5514046;8;13;1;3;FALSE
11:31:27.6519377;8;13;1;3;FALSE
11:31:27.7518843;8;13;1;3;FALSE
11:31:27.8368593;8;13;1;3;FALSE
11:31:27.9371792;8;13;1;3;FALSE
11:31:28.0374477;8;13;1;3;FALSE
11:31:28.1378040;8;13;1;3;FALSE
11:31:28.2379805;8;13;1;3;FALSE
11:31:28.3229438;8;13;1;3;FALSE
11:31:28.4074893;8;13;1;3;FALSE
11:31:28.4855327;8;13;1;3;FALSE
11:31:28.5699483;8;13;1;3;FALSE
11:31:28.6698483;8;13;1;3;FALSE
11:31:28.7699711;8;13;1;3;FALSE
11:31:28.8544670;8;13;1;3;FALSE
11:31:28.9389429;8;13;1;3;FALSE
11:31:29.0389354;8;13;1;3;FALSE
11:31:29.1390351;8;13;1;3;FALSE
11:31:29.2236126;8;13;1;3;FALSE
11:31:29.3239359;8;13;1;3;FALSE
11:31:29.4082320;8;13;1;3;FALSE
